,peak 1 intensity,peak 1 area,peak 1 perimeter,peak 1 shift,peak 1 eccentricity,peak 2 intensity,peak 2 area,peak 2 perimeter,peak 2 shift,peak 2 eccentricity,peaks PC 1,peaks PC 2
0,7379377.507010501,10443.5,407.5921894643558,638.5875983248687,0.8192709297722129,39856938.360155866,12982.75,500.7109844909737,443.6890378128395,0.35867135051906496,6795.031546810787,442.25887900612787
1,8883295.697719526,11880.75,442.6589462905455,637.6164097149264,0.7904172874800117,40401162.66022853,14399.5,553.206673505298,443.3461869277602,0.3451446056016285,4835.255076145926,-43.61122648626383
2,12140281.502669282,12628.25,459.4119946177504,637.8737147822055,0.7849901887860741,44376239.88139611,15514.0,568.0914498161482,442.9162141657172,0.3278413277392515,3494.8338418723306,-101.08106761281604
3,12391068.296052922,12546.0,450.52290732122435,638.1354984452016,0.793904441093394,46564333.09767913,15517.5,556.7985565973347,443.6252985780506,0.39100447618714973,3535.3737823664164,-29.715117268058304
4,12983115.275581196,12678.75,463.72570311673513,637.4059131824873,0.7686596214507553,48731900.86740984,15446.25,556.0160710186069,444.42613597199795,0.454062366779384,3526.62034822442,-180.2134205672606
5,14896654.554492159,13208.5,469.6251980533468,637.3071099196089,0.7665229527225643,52336842.031025134,16390.75,609.7188668141176,441.9103542208907,0.4240527852855993,2443.229494093698,-137.5195350473668
6,14922099.78252115,13282.25,478.97875144394004,636.6270541148349,0.7721148375129466,53040135.808942705,16057.25,591.2795269858975,442.68043499778275,0.4309741692172634,2689.4387749707776,-374.97960926966795
7,15617537.745597918,12987.75,466.6650429449554,637.1069043850728,0.77041512856119,55998512.73653021,16722.0,677.542982953188,441.3085841161035,0.3587926436120643,2273.5715163924942,227.07327411935947
8,16768593.283174593,13440.75,472.58966414741406,637.029765857608,0.7706296518958946,59476430.46801136,17090.5,619.9719151413226,442.17157113248356,0.30209425877125506,1725.4687789695406,28.546658706737063
9,16678455.90706532,13654.75,482.73611075682084,636.7772788031166,0.766063259488881,64963857.00450696,17567.0,653.9277592640383,440.15112807756316,0.41438954453149934,1206.3306087872936,95.65971764839543
10,18064702.82866007,14294.25,497.32799384885755,636.6183257363725,0.7718282720965952,75986515.67378332,18421.25,691.5993321392921,439.7840499016884,0.3382659288216117,143.06515508273247,-3.318590857785913
11,19183269.840546295,14444.5,506.2170811453836,636.9472722209925,0.7629860606785085,79943795.82298401,18550.0,738.159992311072,439.75064842917135,0.5011356103024959,-47.07841066546923,-61.534102841419646
12,18272479.713972855,14301.75,496.2170811453836,636.4313246926196,0.7715712194921709,72988787.61659259,18129.0,702.3670990922585,441.02041198143013,0.4142291648887687,387.65822961993433,-160.6277996596367
13,19093522.912157543,14096.75,490.867838740466,636.7548729959992,0.7616764981076793,84999661.43808806,18243.25,705.1703999511576,440.2850993131902,0.4420295553920338,397.32342152763994,73.57537706589694
14,20754204.09078351,13953.75,486.4640328181787,636.5188182578909,0.7682646370153795,90651443.0558972,18371.0,731.8627881065827,439.35185911190297,0.445414251155724,362.12335258068373,263.5972661395568
15,21554233.62975053,14670.0,510.55591591021545,636.2823751459891,0.7579883859055652,93939870.46732225,18636.75,700.5447686219222,442.3786586734205,0.5330017477196505,-237.20993320523476,-211.20974416634215
16,21175723.465310343,14342.5,503.20236251962217,635.630455778502,0.752554158398585,87913481.76980549,18613.75,732.2665940288701,439.97295511178913,0.5636645561007606,-47.84540121532828,58.091040270960775
17,21898962.796653956,14186.0,500.28814895724906,635.9504382812823,0.7530796685470976,91440789.95448276,18282.75,749.6660889654819,440.455815287273,0.36866890408532693,315.12872935392454,20.80871387288355
18,21892457.58604835,14414.25,512.8843430349616,635.6720518417861,0.7619396337531164,91412541.6986057,18690.5,770.3627881065827,439.2967200511333,0.5288978838518505,-152.37302017628915,39.11708096214367
19,21150512.969501764,14158.75,515.0455082701297,635.5109280555109,0.7549693958534344,97031829.30955477,18645.0,772.3229432149741,440.41498125452694,0.45725236852418627,19.67340552750956,233.08135437950884
20,20811791.359709688,14210.0,504.52038200428274,635.6223258973797,0.7498425630262626,94160079.72006534,18576.25,763.8731957466683,438.3003859770469,0.3802443956093051,51.95601956724807,153.54954695329332
21,19614232.892787587,13809.0,486.2569260369921,636.1412505280781,0.766424077912579,96230034.46677628,18746.0,757.2267491372617,439.95599530384925,0.36263047510559643,117.23360021177571,583.204274574297
22,19977587.727520827,13931.75,488.65642097360376,636.2656881849911,0.7525494796607893,96666662.50551757,18721.5,738.8333508550598,440.20323562408174,0.3901349351874959,74.74158690686734,464.6484719322854
23,20728922.53608923,14376.75,502.0099743641971,635.6864245583197,0.7622763791531899,100381382.54211865,18684.25,744.9338559184482,439.8991348701932,0.35957058734327385,-126.2852292989036,66.42717645787431
24,20705141.703259386,14449.0,505.8635277547903,635.6114132822198,0.7669738661100777,104229266.09696312,18951.5,768.7518754031088,437.47207842550335,0.4573276701498902,-392.68070502353424,145.13360964288154
25,21492545.149646934,14451.0,505.92418792657014,635.1284420512977,0.758706501109567,103833926.5150472,18883.5,734.5594872476836,437.78663489675546,0.5169642908389376,-334.3960598669231,105.80293681096954
26,23186443.458275363,14672.0,496.09576080182393,636.6840441108518,0.7687029564282237,102972951.90475601,19773.75,772.5907101679405,437.50895341483175,0.4422589032707117,-1209.530944762776,382.6472094196478
27,23845629.264293026,14631.0,506.8028675830104,636.0888873553486,0.7662073415761167,103349504.93611069,19637.25,796.2267491372615,436.61377530188645,0.4778307034236563,-1072.9646798650413,347.96069448101076
28,22043554.870921608,14486.0,509.1564209736037,635.8746278693138,0.7644236910904871,103986266.09549494,19476.0,794.0803025278549,436.5567737247875,0.3902020873644762,-859.8497579619135,387.4889865450999
29,22487353.738234863,14434.0,499.20667350529794,635.9147508433389,0.7626533500250046,103849955.90032075,19127.25,782.0551762620078,438.4507652788411,0.38269767024015217,-535.0141975698076,250.24981481692583
30,23149245.47536197,14335.5,501.57063453597686,636.2615303884711,0.7621689723643991,100767186.6367273,18871.5,747.3021279348029,438.21189263437134,0.34356052702703055,-264.3403024295352,198.9198002046855
31,22988270.425115407,14291.75,497.59576080182393,637.1438323453272,0.7619303996756561,93978712.58220121,18474.25,754.2016228714144,439.1295547615138,0.3275636533758687,96.64455289282326,30.578253621080055
32,22105585.4334221,14284.25,490.3635277547903,636.2769715487889,0.7636834034439017,98757032.74852481,19283.25,779.8168465605643,435.7726221858986,0.5459303375480815,-589.5074448219668,458.8663285235999
33,22153400.904251788,14479.5,505.60616844190963,635.7406026176475,0.758957122127786,97281431.58208421,18560.0,751.049079607598,438.08623514287433,0.3906367169746834,-74.39469455783104,-85.23692289846205
34,23201844.90919905,14660.25,509.4848480983499,635.4271493533913,0.75456257428681,94268272.80471091,19023.25,780.8021279348029,438.1014753115078,0.4906843088745368,-564.6323448553411,3.2208877642212035
35,22462378.361015193,14692.25,502.0203820042827,635.7158793971887,0.7652595093993062,91215548.58967379,19786.75,824.1703999511576,435.2210408985644,0.510455627911166,-1233.3776699459686,375.47989394923343
36,23161070.86026221,14855.75,509.7127701597078,634.7030307035811,0.7587031995519955,95549619.73325506,19099.0,741.1158364337875,438.3123601685677,0.4657323150097625,-729.5959264971899,-126.61687172216467
37,23592423.223275818,14423.75,495.00997436419703,635.7891070228764,0.7641807326829162,95900036.02947061,18881.75,748.4737008100567,438.8378088094139,0.5336377605624412,-319.11124163169785,129.40259444860698
38,22732519.263818443,14875.75,513.1417023478424,635.8394754967525,0.7596874431219189,96009182.87476198,19810.25,805.2726906832801,437.9685597307638,0.524423216577997,-1348.5610645844708,229.78142005465617
39,22382017.51407801,14730.0,505.26302269140194,636.5552332706667,0.7567035976330869,95813247.00217038,19231.25,777.994516090228,439.4142974601534,0.5151805079845325,-778.0513979923132,51.74321028964697
40,22516184.785504673,15007.5,503.9241879265702,635.8739393516844,0.7683409202700378,91801460.276294,20110.5,789.2414677630231,436.55697629838403,0.539748659165985,-1672.32364106618,272.6769072626704
41,22629813.273195535,14815.75,499.97444045826427,636.061992574347,0.765238373752812,97289370.66220404,18727.5,712.9841084501423,440.18955818865123,0.5195949767857971,-390.98646295277973,-286.98380085191826
42,24481549.555998802,14710.25,501.85312011470467,636.7591966532412,0.7694381203064684,99581732.57654339,19179.5,740.2518754031087,439.4212099960335,0.5272541227884879,-722.0625630063727,39.239954253850655
43,24671030.79727212,14466.25,502.6564209736039,635.741851227165,0.7677761230952932,104537874.25005272,19088.0,748.5950211536164,439.7889428269933,0.5017208938468158,-517.0842908097794,200.02038484287596
44,22621233.478921454,14667.75,501.731799771145,635.9811560317384,0.7790999833916735,112016719.0603413,19397.25,787.2016228714145,438.38946445274786,0.4186591572768749,-887.2838102579212,191.65026389165098
45,22307107.477797568,14806.0,512.4345955666558,635.881313924495,0.7639933437141591,113585364.37787649,19729.0,765.1660889654818,438.71375620479233,0.5256054982364287,-1241.2755829318967,244.28028090439875
46,22583382.820641972,14835.75,501.15642097360376,636.6889754545671,0.7582575797482255,106062163.27812344,19166.75,729.0092347159896,440.7928469012481,0.4341557434258241,-776.2530460130628,-74.97285184590135
47,22980152.291532863,14683.25,503.9094693008087,635.9152269542128,0.7610229803879834,107632960.83468609,19126.25,740.7016228714147,438.6347496770908,0.5253538474274688,-662.653409925161,34.552669813194505
48,25321643.71887615,14692.5,519.4450032067414,634.5367760869894,0.7547273918497133,109064038.92897674,18787.75,702.4234482783625,441.50386552309095,0.5283292192766809,-377.7697271212781,-152.15691689540898
49,25775190.53266093,14886.0,527.7483040656405,634.1810081238762,0.7545834662401439,109086164.95733467,18608.5,713.1869042456531,442.0780673259285,0.4880987856917626,-326.6602121072267,-409.480557206933
50,26230176.821853135,14712.25,513.9345955666558,636.1137939000444,0.7643705576295926,97646017.92125,18902.0,731.994516090228,441.39297949678365,0.37532454955652306,-486.54560629223846,-107.4708427375242
51,24368797.95853663,14779.75,505.2777413171634,635.9603686531199,0.7605576229180864,96022233.59921269,19233.0,755.8480694808213,441.15223039453025,0.40032894953218806,-804.6037567928614,8.77884664060818
52,25234729.257440083,15048.25,525.041197284454,635.9052674541826,0.749826787340282,91348338.51006292,18562.0,725.494516090228,441.2183913206129,0.3710998404812603,-372.23516424933433,-570.8160912710454
53,26813766.17377382,14765.0,516.4952557384356,635.8807739074681,0.7551854642065633,92259229.38275631,18922.5,748.7770016689558,441.7383278304203,0.5006670189000809,-532.2713287220935,-140.68382853175362
54,25391267.196455143,14985.75,518.1165760819953,636.1967116914252,0.7552137058764892,91997386.73030257,18938.25,695.0447686219221,443.20488292837496,0.43105215208097436,-658.7482587014583,-324.168866255055
55,24190957.690382976,14766.25,524.7023625196222,635.4394028165108,0.7571125218575552,92571712.95268156,18561.5,697.358477120907,442.553965097782,0.385969480254081,-223.4131236862831,-332.9020380848138
56,24777765.828490738,14553.0,527.6417023478423,635.2634917378882,0.7600463955013887,97246211.52763122,18223.5,707.5907101679406,442.9517675996312,0.3488569521525097,175.37332915665357,-326.18629496130137
57,23526510.196338344,14123.5,507.12088706767105,635.2571047235721,0.7645611315977682,104528696.85164483,17984.25,744.630555059549,441.731389858796,0.44299853747597157,602.1422135916175,-81.49120538091304
58,24094206.698321518,14263.25,513.595760801824,635.5675057085798,0.7634995931396017,100573504.41546088,17987.0,742.1201474194634,440.90250939505233,0.3889381119132721,526.856651362227,-199.42557302075028
59,25326342.303428285,14435.75,520.5203820042827,635.2831282845034,0.7573454117586831,104278708.54498103,18363.25,754.1348660452248,438.6928833386745,0.4527342353132576,115.72194801028772,-150.40105040027734
60,24717430.101335663,14367.5,523.3843430349616,635.5211330015545,0.7565680804243562,108462009.9304106,18911.25,768.7059338570904,438.53310429858675,0.4293054620739162,-316.0641577422862,193.0362107594548
61,24480399.207850337,15038.0,531.8444981433531,634.8771388912364,0.7551449684515695,106355389.41777585,19012.25,712.2267491372617,441.5005584932677,0.3306560913269532,-749.9443351233732,-329.52518501394474
62,23772614.83133781,14892.25,520.0203820042827,634.8348417652545,0.7495758388851926,104432367.25841449,19187.25,746.8376618407358,439.3064876064508,0.2916117899966244,-824.1888177673756,-111.84479945605037
63,25242778.312468518,14849.0,512.0203820042827,636.1953646225985,0.7621811559385825,101356541.75125873,18774.0,710.1262440738733,440.9828506689356,0.35412361402101694,-447.989173553046,-291.7563581541849
64,24496942.307024095,14864.75,508.75261505131635,635.7386005660652,0.7515330563539515,96509235.1504736,18703.5,709.2874093090415,441.0240920544666,0.4146004147731586,-396.08491097494374,-341.7062950388252
65,24313588.33999119,14766.25,520.8236828631818,635.4923951408624,0.7512995662888035,103969553.25913014,18497.25,692.3879143724298,441.5977441583858,0.37481761292559107,-168.43237953955568,-366.45539936565433
66,22343563.53227921,14816.0,513.9450032067415,636.2180777918356,0.7494302015725552,99854200.6578485,19221.0,812.247564417433,436.8344985621683,0.5218709717313125,-815.7438576301489,-24.73979208251216
67,25176175.941213407,14963.5,519.3340905032675,635.4018922810023,0.7487457099805805,101324759.58441514,18935.5,762.1764966055675,439.64392147235424,0.4923162586669776,-647.5714831944604,-302.1057924071041
68,24819196.39076402,14847.5,533.43028458098,635.6586268747205,0.739672295419914,100531072.29447705,18873.5,769.2622830431944,438.9889052369669,0.5062168310797618,-534.6674833071953,-235.51240116276867
69,23781456.4839931,15330.75,529.0914498161482,635.7877335270352,0.7576434994007112,100410772.25298202,19972.25,802.1869042456531,437.4478675389474,0.4769025009090189,-1724.1837291772838,-74.24610246175769
70,23840120.189078268,15477.25,535.4554108468271,634.9297296560546,0.7520826843505488,99190960.62675345,19851.25,798.0300499961608,437.3127737734762,0.3797885262390618,-1697.5145293847593,-262.27069377009906
71,20740587.92533512,15062.25,517.5914498161483,635.9162368093525,0.7533238834067936,98522382.52206841,19819.0,815.0803025278549,436.25817699508514,0.4933188921440281,-1453.8478977342816,76.07028608098649
72,24018294.75113397,15356.5,533.4554108468271,635.8759042495318,0.7456261129830642,105813514.62354061,20166.0,846.6617779798062,436.32745341492307,0.48490565264739444,-1904.5501241497088,7.284342244196485
73,23604984.40525147,14968.25,522.7734303314876,635.606679861595,0.7471524930314417,98269386.58678624,19248.25,807.1869042456531,439.22616573734604,0.4327214397786776,-918.3469056153936,-140.86654966191426
74,24189925.58830048,15048.5,519.7985565973347,635.9457697970937,0.7527407040690719,103770126.61205369,19531.75,769.8836033867541,440.6225678008078,0.4800481435056423,-1200.1545632008242,-64.48890297534416
75,23525605.89898071,14563.0,510.38865402063743,635.9579664376431,0.7583675263866556,110211819.49730906,19056.5,789.3480694808213,440.266593775891,0.46654343307671503,-542.5412043674639,103.81757803555112
